,date,ticker,marketcap
51020,2021-07-02,TPL,12355.6
51021,2021-07-01,TPL,12532.7
51022,2021-06-30,TPL,12407.8
51023,2021-06-29,TPL,12104.6
51024,2021-06-28,TPL,12044.8
51025,2021-06-25,TPL,12224.4
51026,2021-06-24,TPL,12252.6
51027,2021-06-23,TPL,12471.0
51028,2021-06-22,TPL,12332.3
51029,2021-06-21,TPL,12359.0
51030,2021-06-18,TPL,11765.5
51031,2021-06-17,TPL,11710.8
51032,2021-06-16,TPL,12130.6
51033,2021-06-15,TPL,11940.6
51034,2021-06-14,TPL,11618.7
51035,2021-06-11,TPL,11866.9
51036,2021-06-10,TPL,11572.1
51037,2021-06-09,TPL,11804.9
51038,2021-06-08,TPL,11888.9
51039,2021-06-07,TPL,11688.5
51040,2021-06-04,TPL,11528.3
51041,2021-06-03,TPL,11401.5
51042,2021-06-02,TPL,11561.5
51043,2021-06-01,TPL,11626.8
51044,2021-05-28,TPL,11270.6
51045,2021-05-27,TPL,11368.2
51046,2021-05-26,TPL,11389.9
51047,2021-05-25,TPL,11526.6
51048,2021-05-24,TPL,11684.2
51049,2021-05-21,TPL,11944.5
51050,2021-05-20,TPL,12022.0
51051,2021-05-19,TPL,11748.3
51052,2021-05-18,TPL,12191.1
51053,2021-05-17,TPL,12797.7
51054,2021-05-14,TPL,13093.7
51055,2021-05-13,TPL,12853.8
51056,2021-05-12,TPL,13098.8
51057,2021-05-11,TPL,13402.5
51058,2021-05-10,TPL,13577.7
51059,2021-05-07,TPL,13598.5
51060,2021-05-06,TPL,12471.0
51061,2021-05-05,TPL,13199.9
51062,2021-05-04,TPL,12704.2
51063,2021-05-03,TPL,12477.6
51064,2021-04-30,TPL,11945.6
51065,2021-04-29,TPL,12216.0
51066,2021-04-28,TPL,12862.0
51067,2021-04-27,TPL,12444.8
51068,2021-04-26,TPL,12223.9
51069,2021-04-23,TPL,11422.3
51070,2021-04-22,TPL,11378.3
51071,2021-04-21,TPL,11298.0
51072,2021-04-20,TPL,11383.4
